StudentID,StudentName,CourseID,CourseName,Instructor
2044,Paul Morris,1457,Math198,Prof. Miller
6199,Elena Wright,1689,Math152,Prof. Green
6194,Paul Mitchell,1170,Math161,Prof. Jones
946,Philip Griffin,345,Math150,Prof. Davis
1705,Eve Henderson,3660,Math109,Prof. Davis
6218,Simone Carter,859,Math103,Prof. White
4445,Carol Foster,2197,Math149,Prof. Davis
825,Karen Reed,303,Math155,Prof. Johnson
2050,Bella Fisher,2478,Math146,Prof. White
1863,Valerie Clark,2709,Math180,Prof. Williams
4700,Hazel Foster,1707,Math196,Prof. Davis
5068,Nancy Jackson,1470,Math193,Prof. Jones
3408,Derek Taylor,1725,Math186,Prof. Gray
4957,Rachel Russell,1586,Math165,Prof. Smith
198,Gina Myers,2900,Math133,Prof. Gray
6874,Rose Allen,4735,Math162,Prof. Wilson
4295,Xander Ward,2613,Math169,Prof. Brown
4877,Zoe Hughes,945,Math107,Prof. Taylor
4070,Tara Bell,3117,Math153,Prof. Smith
1214,Charlie Hall,579,Math116,Prof. Johnson
4654,Zelda Barnes,2248,Math120,Prof. Green
3543,Renee Gray,4026,Math149,Prof. Miller
5816,Irene Cruz,1817,Math150,Prof. Gray
475,Kyle Russell,4380,Math185,Prof. Davis
4227,Frances Henderson,733,Math152,Prof. White
3742,Noah Jenkins,3853,Math177,Prof. Miller
5732,Dana Jones,3642,Math143,Prof. Smith
1974,Monica Long,4012,Math166,Prof. Johnson
552,Patrick Thomas,1171,Math167,Prof. Wilson
3543,Renee Gray,3492,Math179,Prof. White
1853,Karen Jenkins,4361,Math122,Prof. White
1584,Xander Anderson,1641,Math163,Prof. Wilson
1374,Grace Jones,773,Math169,Prof. Gray
6659,Rose Flores,2062,Math187,Prof. Gray
6799,Wyatt Ross,382,Math144,Prof. Green
125,Gina Torres,981,Math181,Prof. Taylor
6286,Vince Williams,1470,Math193,Prof. Jones
3109,Derek Henderson,4379,Math101,Prof. Jones
4083,Vera Young,3010,Math135,Prof. Miller
3680,Victor Ross,408,Math160,Prof. Williams
1013,Wesley Price,1725,Math186,Prof. Gray
1936,Julia Lee,3698,Math112,Prof. Jones
3032,Laura Reed,1289,Math154,Prof. Wilson
6748,Carol Reyes,1885,Math151,Prof. Wilson
672,Yasmine Cruz,518,Math102,Prof. Smith
2078,Quincy Baker,1158,Math124,Prof. Davis
6052,Ian Gonzalez,2823,Math180,Prof. Green
5033,Vince Adams,926,Math191,Prof. Wilson
3624,Ximena Ward,303,Math155,Prof. Johnson
2474,Elena Mitchell,3721,Math146,Prof. Taylor
3343,Tim Adams,1151,Math166,Prof. Jones
1234,Ian Hughes,1361,Math157,Prof. Miller
424,Zoe Hall,4832,Math164,Prof. Green
3827,Lukas Ross,1373,Math163,Prof. Jones
4178,Alice Rogers,1477,Math134,Prof. Jones
4770,Ian Adams,4731,Math159,Prof. Johnson
4980,Nina Brown,2984,Math124,Prof. Green
1119,Aaron Mitchell,3545,Math133,Prof. White
4114,Freddie Green,2920,Math177,Prof. Johnson
301,Yasmine Powell,4624,Math129,Prof. White
3679,Renee Davis,1084,Math145,Prof. White
4134,Omar Turner,1584,Math133,Prof. Jones
742,Bianca Cruz,3067,Math139,Prof. White
4210,Caleb Cooper,1406,Math142,Prof. Johnson
5747,Mark Harris,1347,Math116,Prof. Miller
4968,Lena Price,4588,Math189,Prof. Jones
3456,Isla Lewis,4417,Math147,Prof. Smith
5041,Kyle Griffin,1950,Math139,Prof. Green
3226,Olivia Ortiz,218,Math197,Prof. Williams
5923,Ximena Campbell,3735,Math147,Prof. Brown
6904,Cindy Smith,3914,Math168,Prof. Taylor
5577,Leon Taylor,4502,Math130,Prof. Gray
2551,Frank Thompson,801,Math178,Prof. Wilson
1266,Oscar Martin,1415,Math114,Prof. Wilson
969,Milo Rogers,4469,Math109,Prof. Taylor
1087,Kieran Rogers,4746,Math163,Prof. Johnson
