StudentID,StudentName,CourseID,CourseName,Instructor
1461,Kimberly Reyes,1480,CS138,Prof. Jones
3556,Isla Wilson,2967,Physics156,Prof. Jones
2064,Olivia Taylor,1804,Biology199,Prof. Wilson
6194,Paul Mitchell,1170,Math161,Prof. Jones
443,Mark Campbell,297,History128,Prof. Wilson
1911,Bob Peterson,3618,Biology152,Prof. Wilson
1709,Harold Taylor,1088,English106,Prof. Wilson
5571,Xena Turner,3815,English148,Prof. Jones
2479,Elena Roberts,1877,English141,Prof. Wilson
6689,Wyatt Walker,4511,English124,Prof. Wilson
877,Emma Jackson,2850,Biology139,Prof. Wilson
5068,Nancy Jackson,1470,Math193,Prof. Jones
2877,Yasmine Gonzalez,1148,History172,Prof. Jones
6446,Bianca Hughes,3250,Biology186,Prof. Wilson
2525,Nina Anderson,920,Biology110,Prof. Wilson
4478,Mia Flores,4558,Biology194,Prof. Wilson
3130,Bella Walker,478,English102,Prof. Jones
3096,Zane Torres,3534,History147,Prof. Wilson
6874,Rose Allen,4735,Math162,Prof. Wilson
6267,Wyatt Henderson,4590,Biology133,Prof. Wilson
4789,Ursula Rogers,940,CS135,Prof. Wilson
2083,Patrick Thompson,1268,Physics137,Prof. Jones
3114,Simone Garcia,1044,English111,Prof. Jones
2493,Kimberly Perez,2218,English108,Prof. Wilson
552,Patrick Thomas,1171,Math167,Prof. Wilson
5548,Theo Gonzalez,1128,History199,Prof. Wilson
1584,Xander Anderson,1641,Math163,Prof. Wilson
4466,Rita Martin,2370,English192,Prof. Wilson
92,Clara Garcia,4329,History161,Prof. Jones
1232,Tracy Williams,401,CS180,Prof. Wilson
5369,Zoey Wilson,686,English176,Prof. Wilson
5712,Yosef Young,3472,History161,Prof. Wilson
6286,Vince Williams,1470,Math193,Prof. Jones
4036,Dana Davis,2345,Biology115,Prof. Wilson
3979,Clara Wright,1221,CS160,Prof. Jones
3109,Derek Henderson,4379,Math101,Prof. Jones
944,Sam Ortiz,4164,CS130,Prof. Jones
2992,Sophia Davis,2090,CS136,Prof. Wilson
1936,Julia Lee,3698,Math112,Prof. Jones
5204,Helen King,2755,History131,Prof. Wilson
3032,Laura Reed,1289,Math154,Prof. Wilson
6748,Carol Reyes,1885,Math151,Prof. Wilson
4742,Harold Peterson,1941,History165,Prof. Wilson
5033,Vince Adams,926,Math191,Prof. Wilson
5312,Dana Hughes,3936,Physics164,Prof. Wilson
3611,Bella Torres,2000,History112,Prof. Jones
3343,Tim Adams,1151,Math166,Prof. Jones
5,Tim Hughes,1386,CS188,Prof. Wilson
3479,Penny White,1209,Physics187,Prof. Jones
3827,Lukas Ross,1373,Math163,Prof. Jones
4178,Alice Rogers,1477,Math134,Prof. Jones
2135,Karen Smith,3864,English127,Prof. Jones
5141,Derek Price,1474,Physics180,Prof. Wilson
984,Bob Myers,501,Biology119,Prof. Jones
4224,Ursula Taylor,4602,Physics197,Prof. Wilson
4134,Omar Turner,1584,Math133,Prof. Jones
2565,Penny Henderson,1364,History163,Prof. Wilson
3088,Isaac Johnson,333,History135,Prof. Jones
3113,Liam Evans,688,Biology123,Prof. Wilson
1931,Cindy Walker,1870,CS117,Prof. Jones
4968,Lena Price,4588,Math189,Prof. Jones
1265,Milo Cook,4441,History159,Prof. Wilson
3294,Elliot Myers,3906,Physics174,Prof. Jones
3142,Leon Gonzalez,3198,CS151,Prof. Wilson
3077,Wyatt Thomas,802,English172,Prof. Jones
6043,Uriel Powell,4679,Biology162,Prof. Jones
2551,Frank Thompson,801,Math178,Prof. Wilson
1266,Oscar Martin,1415,Math114,Prof. Wilson
6108,Charlie Torres,3793,English168,Prof. Jones
4712,Grace Myers,2053,English128,Prof. Wilson
210,Aaron Ross,1549,History198,Prof. Wilson
6968,Helen Morris,4509,English116,Prof. Jones
2067,Nathan Jones,670,Math174,Prof. Jones
2356,Paul Lee,2188,Physics151,Prof. Jones
5818,Justin Clark,1641,Math163,Prof. Wilson
6673,Yosef Bailey,1819,Physics148,Prof. Wilson
2185,Quinn Reed,2470,Biology186,Prof. Jones
5146,Uriel Garcia,455,Physics160,Prof. Wilson
2800,Tim Anderson,737,English188,Prof. Wilson
999,Frances Allen,1080,CS109,Prof. Jones
471,Peter Mitchell,4134,Physics176,Prof. Wilson
407,Ulysses Nelson,1386,CS188,Prof. Wilson
1880,Rachel Gonzalez,1293,Math176,Prof. Jones
3821,Will Cook,158,History169,Prof. Jones
5846,Yvette Reed,2419,Math171,Prof. Jones
4182,Laura Green,1257,Physics191,Prof. Wilson
2031,Penny Reed,972,English173,Prof. Wilson
4153,Milo Jones,2798,English177,Prof. Jones
3181,Helen Williams,4485,History101,Prof. Jones
6587,Sebastian Young,1444,Biology130,Prof. Wilson
6344,Sebastian White,2530,Biology191,Prof. Wilson
476,Caleb Miller,3637,CS152,Prof. Wilson
3048,Irene Price,2036,History171,Prof. Wilson
2648,Katie Powell,2082,English165,Prof. Wilson
2668,Kyle Price,4816,Biology193,Prof. Wilson
6128,Ian Davis,2502,Biology132,Prof. Jones
1358,Harry Baker,1730,English149,Prof. Jones
1209,Rose Peterson,1644,Physics103,Prof. Wilson
5326,Emma Miller,1206,Physics142,Prof. Jones
5289,Zoe Miller,3263,History196,Prof. Wilson
4299,Renee Martinez,2112,Biology163,Prof. Wilson
4350,Cindy Parker,3637,CS152,Prof. Wilson
2342,Monica Morgan,4659,CS189,Prof. Jones
1396,Jasper Garcia,3066,CS166,Prof. Wilson
3996,Helen Griffin,4857,Physics126,Prof. Jones
932,Simone Taylor,2514,English180,Prof. Wilson
4016,Monica Price,140,Math169,Prof. Wilson
1550,Wesley Perry,2719,English141,Prof. Jones
6371,Patrick Cooper,3608,English131,Prof. Jones
4004,Emma Henderson,4296,CS162,Prof. Jones
5438,Liam Campbell,1293,Math176,Prof. Jones
1353,Omar Mitchell,1012,Math172,Prof. Wilson
3053,Zane Nelson,1019,CS159,Prof. Jones
4844,Sophia Nelson,3863,Physics168,Prof. Wilson
1931,Cindy Walker,2937,Biology193,Prof. Jones
6268,Freddie Russell,4556,Math184,Prof. Wilson
6424,Ruby Gonzalez,3705,Physics155,Prof. Jones
3819,Nancy Young,645,Biology176,Prof. Jones
2382,Tina Ward,610,Math117,Prof. Wilson
1124,Cindy Anderson,1223,Physics120,Prof. Jones
1250,Zoe Ward,3797,Physics183,Prof. Wilson
6100,Emma Cook,2947,Physics164,Prof. Jones
3575,Caleb Baker,2188,Physics151,Prof. Jones
5729,Paul Ortiz,566,Math139,Prof. Wilson
5148,Vanessa Gray,654,CS180,Prof. Jones
3838,Julia Perry,1698,Physics153,Prof. Jones
2918,Renee Smith,2448,Biology111,Prof. Jones
1769,Grace Lee,1043,Physics143,Prof. Jones
5142,Renee Green,2518,Physics163,Prof. Wilson
115,Quincy Clark,789,Math135,Prof. Wilson
3208,Tim Miller,3234,Biology147,Prof. Jones
1605,Karen Garcia,3110,Math107,Prof. Wilson
783,Aaron Baker,541,Physics172,Prof. Wilson
2208,Carol Moore,372,Math137,Prof. Wilson
4491,Frances Williams,553,History152,Prof. Jones
3146,Caleb Turner,422,English171,Prof. Jones
2067,Nathan Jones,1628,CS101,Prof. Jones
324,Quinn Martinez,4581,Math154,Prof. Jones
2229,Tina Cooper,3232,History125,Prof. Jones
3579,Valerie Allen,3845,History156,Prof. Wilson
5608,Aaron Moore,1526,CS163,Prof. Wilson
1960,Clara Peterson,971,Physics174,Prof. Wilson
5748,Yvonne Turner,2303,Biology175,Prof. Wilson
5490,Bella Russell,565,English158,Prof. Wilson
4688,Tina Wright,173,CS156,Prof. Wilson
2814,Zoe Gray,3190,English152,Prof. Jones
6846,Rita Cruz,3611,History127,Prof. Jones
2434,Grace Reed,3223,English156,Prof. Wilson
