StudentID,StudentName,CourseID,CourseName,Instructor
5629,Quinn Ortiz,4814,English160,Prof. Wilson
4651,Peter Myers,3619,CS168,Prof. Wilson
2049,Helen Flores,4367,Physics129,Prof. Wilson
902,Kimberly Jackson,2489,Physics150,Prof. Wilson
442,Zelda Martinez,940,CS135,Prof. Wilson
1353,Omar Mitchell,1012,Math172,Prof. Wilson
1931,Cindy Walker,2937,Biology193,Prof. Jones
795,Hank Morris,1514,CS186,Prof. Jones
765,Hazel Morris,884,Physics144,Prof. Jones
4586,Maddie Roberts,247,English129,Prof. Jones
5148,Vanessa Gray,654,CS180,Prof. Jones
1461,Kimberly Reyes,1480,CS138,Prof. Jones
4939,Julia Ross,4981,CS170,Prof. Wilson
706,Ursula Ward,4386,Biology197,Prof. Jones
922,Wendy Foster,2546,CS115,Prof. Jones
2864,Valerie Reyes,649,History132,Prof. Wilson
281,Harold Morgan,2287,Math125,Prof. Wilson
5621,Sam Brown,496,Math194,Prof. Wilson
1036,Lukas Miller,541,Physics172,Prof. Wilson
5223,Nina Evans,3561,English134,Prof. Wilson
1605,Karen Garcia,3110,Math107,Prof. Wilson
6545,Aaron Hughes,1247,History170,Prof. Jones
1483,Jackie Gonzalez,4813,Math117,Prof. Jones
3937,Will Lewis,3523,CS175,Prof. Jones
1265,Milo Cook,4441,History159,Prof. Wilson
4169,Jackie Torres,4738,Biology124,Prof. Wilson
6040,Fiona Long,2470,Biology186,Prof. Jones
3382,Nate Parker,628,Biology107,Prof. Jones
5068,Nancy Jackson,1470,Math193,Prof. Jones
3958,Mia Thompson,1375,English105,Prof. Jones
1396,Jasper Garcia,3066,CS166,Prof. Wilson
6425,Leon Howard,1921,Biology192,Prof. Wilson
2535,Dave Russell,3149,Math172,Prof. Jones
531,Frank Roberts,1570,Physics129,Prof. Jones
5013,Bob Jackson,824,History199,Prof. Jones
3736,Milo Wilson,2840,English163,Prof. Jones
2282,Paul Wright,210,English195,Prof. Wilson
3782,Rose Turner,1451,English176,Prof. Jones
2800,Tim Anderson,737,English188,Prof. Wilson
6322,Uriah Thomas,1254,History192,Prof. Jones
524,Victor Kelly,3807,CS198,Prof. Jones
2042,Peter Russell,3665,History185,Prof. Wilson
2205,Wyatt Mitchell,1415,Math114,Prof. Wilson
5707,Xander Henderson,570,CS179,Prof. Jones
898,Nate Kelly,4663,Physics171,Prof. Wilson
4439,Tara Bell,1268,Physics137,Prof. Jones
1011,Hazel Lewis,3717,History157,Prof. Jones
6171,Penny Campbell,4464,English123,Prof. Wilson
4853,Liam Bell,1236,English138,Prof. Wilson
5326,Emma Miller,1206,Physics142,Prof. Jones
4004,Emma Henderson,4296,CS162,Prof. Jones
1328,Maddie Fisher,4860,Math156,Prof. Wilson
406,Mark Lewis,2358,Math181,Prof. Jones
599,Zane Moore,507,English117,Prof. Jones
4247,Ulysses Cook,2195,CS107,Prof. Wilson
